flesch_reading_ease*flesch_kincaid_grade*smog_index*gunning_fog*coleman_liau_index*automated_readability_index*dale_chall_readability_score*linsear_write_formula*spache_readability*mcalpine_eflaw*reading_time*syllable_count*monosyllab_count*polysyllab_count*word_count*miniword_count*difficult_words*school_grade*complexity
86.71*3.7*0.0*4.0*9.08*6.6*10.45*4.5*3.97*13.0*0.72*13*7*0*10*3*2*3rd and 4th grade*simple
70.29*5.8*0.0*8.01*9.02*6.6*9.93*5.75*4.44*12.5*1.38*29*12*3*19*6*5*5th and 6th grade*simple
76.72*5.4*0.0*6.34*6.01*5.2*11.76*6.25*3.58*18.0*1.5*32*19*2*23*13*3*5th and 6th grade*simple
43.06*14.2*0.0*18.34*11.78*16.6*10.66*21.5*6.94*40.0*2.1*45*19*6*28*12*7*10th and 11th grade*simple
90.09*4.4*0.0*6.0*9.56*8.7*9.64*7.0*4.67*22.0*1.06*18*12*0*15*7*3*9th and 10th grade*simple
50.16*11.5*0.0*14.11*13.92*14.6*9.94*14.0*5.85*28.0*1.67*33*13*3*21*7*5*13th and 14th grade*simple
82.48*7.3*0.0*9.89*5.69*8.8*7.56*12.75*4.39*32.5*2.66*55*36*1*45*20*2*7th and 8th grade*simple
74.19*6.4*0.0*11.31*8.23*7.1*6.59*8.5*4.04*21.0*0.94*20*10*2*14*7*2*6th and 7th grade*simple
48.47*8.0*0.0*15.73*10.08*7.5*14.46*4.5*5.99*9.0*0.48*11*3*2*6*3*3*7th and 8th grade*simple
77.57*7.2*0.0*11.81*7.89*10.3*10.81*14.0*4.88*27.5*2.63*51*31*5*38*17*6*7th and 8th grade*simple
50.84*9.2*0.0*11.47*10.37*8.1*9.5*8.5*4.68*18.0*0.88*20*7*3*12*6*3*9th and 10th grade*simple
46.44*8.8*0.0*3.2*12.25*9.1*11.93*3.5*6.27*10.0*0.66*14*2*0*8*2*4*8th and 9th grade*simple
47.79*10.3*0.0*14.0*12.69*12.1*14.91*12.5*6.97*20.0*1.22*25*8*3*15*5*7*12th and 13th grade*simple
90.43*6.4*0.0*9.2*3.2*6.6*6.15*12.0*4.46*37.0*1.19*26*20*0*23*14*1*6th and 7th grade*simple
30.54*17.0*0.0*20.3*11.79*18.5*12.63*24.0*8.04*47.0*2.39*53*20*6*32*15*10*11th and 12th grade*simple
53.55*12.3*0.0*16.55*9.12*13.1*9.18*18.0*6.82*38.0*1.75*39*17*4*26*12*7*9th and 10th grade*simple
52.19*10.7*0.0*9.71*10.5*11.9*10.4*13.0*5.78*27.0*1.41*30*10*2*19*8*5*10th and 11th grade*simple
77.74*5.0*0.0*8.01*5.02*4.0*8.67*6.75*3.55*16.5*1.32*29*16*3*21*12*3*4th and 5th grade*simple
92.63*3.4*0.0*5.0*5.26*4.4*10.57*6.0*4.32*18.5*1.53*31*19*0*25*12*5*4th and 5th grade*simple
46.78*10.7*0.0*13.9*15.43*14.3*10.35*12.0*5.78*20.0*1.38*27*9*3*16*4*5*10th and 11th grade*simple
55.24*9.5*0.0*6.4*9.97*9.2*9.36*7.5*5.78*20.0*1.13*25*7*0*16*4*5*9th and 10th grade*simple
89.75*2.5*0.0*8.51*6.56*5.0*13.01*4.0*3.05*9.0*0.5*9*6*1*7*2*1*2nd and 3rd grade*simple
95.51*4.4*0.0*7.2*7.54*8.8*8.92*9.0*3.85*25.0*1.19*20*16*0*18*7*1*8th and 9th grade*simple
48.47*14.2*0.0*18.85*15.33*20.5*10.78*22.0*7.98*40.0*2.56*48*19*5*31*9*10*10th and 11th grade*simple
32.22*14.2*0.0*16.07*14.33*15.7*10.47*15.5*6.68*31.0*1.79*40*14*4*22*9*7*15th and 16th grade*simple
71.82*5.2*0.0*8.2*10.11*7.9*9.95*5.0*5.19*11.0*0.63*12*5*1*8*3*3*4th and 5th grade*simple
3.46*17.0*0.0*20.92*18.27*17.0*13.77*18.0*6.78*22.0*1.59*37*8*8*17*5*7*16th and 17th grade*simple
58.62*10.3*0.0*12.21*5.34*8.4*11.45*15.0*5.44*33.0*1.26*31*14*3*21*12*4*9th and 10th grade*simple
39.34*17.7*0.0*21.0*11.04*21.8*11.15*27.0*8.41*57.0*2.89*59*26*5*40*17*9*11th and 12th grade*simple
65.05*9.9*0.0*12.68*10.74*13.2*9.58*15.0*6.33*30.0*1.66*33*15*2*23*7*6*9th and 10th grade*simple
64.04*10.3*0.0*9.6*8.65*12.4*10.09*14.0*5.66*33.0*1.63*33*15*0*24*9*4*9th and 10th grade*simple
119.19*-2.7*0.0*1.2*-2.38*0.5*19.58*0.5*1.26*4.0*0.19*3*3*0*3*1*0*0th and 1st grade*simple
88.74*2.9*0.0*3.2*6.45*4.4*7.98*3.5*3.04*11.0*0.54*10*6*0*8*3*1*3rd and 4th grade*simple
32.57*16.2*0.0*17.33*13.47*18.2*11.97*19.5*8.22*39.0*2.31*51*15*4*30*9*11*11th and 12th grade*simple
85.69*4.0*0.0*6.22*5.26*4.4*8.49*6.25*3.56*17.0*1.4*28*18*1*22*12*3*5th and 6th grade*simple
75.88*3.7*0.0*1.6*1.45*1.8*11.73*1.5*5.7*6.0*0.26*6*2*0*4*2*2*1st and 2nd grade*simple
28.84*13.5*0.0*18.56*16.53*15.0*10.98*14.0*6.27*23.0*1.48*33*8*5*17*6*6*13th and 14th grade*simple
58.96*12.2*0.0*12.98*10.69*16.1*13.24*18.5*7.3*40.0*2.09*40*20*2*29*11*8*12th and 13th grade*simple
86.2*3.8*0.0*6.1*9.66*7.8*10.17*6.0*3.55*14.0*1.57*28*17*2*21*7*3*5th and 6th grade*simple
41.36*10.7*0.0*11.35*19.3*17.0*11.57*8.5*5.98*17.0*1.29*24*6*2*13*4*5*10th and 11th grade*simple
67.76*6.8*0.0*11.47*10.37*8.5*8.18*8.0*4.68*16.0*0.9*18*9*2*12*4*3*7th and 8th grade*simple
71.14*7.6*0.0*11.51*9.05*9.0*9.12*12.0*4.75*23.0*1.16*24*13*3*17*6*3*8th and 9th grade*simple
68.78*12.6*0.0*15.51*8.14*17.5*11.12*21.0*7.59*55.0*2.35*44*29*1*36*19*7*12th and 13th grade*simple
88.06*5.2*0.0*6.8*5.97*6.8*11.91*8.5*4.25*25.0*1.04*20*14*0*17*8*2*5th and 6th grade*simple
61.33*7.2*0.0*8.0*11.4*9.9*11.24*6.5*3.97*15.5*1.65*31*14*4*20*11*4*7th and 8th grade*simple
79.6*6.4*0.0*6.8*5.45*6.3*5.41*11.0*3.49*26.0*2.04*44*27*3*34*18*1*6th and 7th grade*simple
48.81*9.9*0.0*11.31*13.22*11.5*11.1*9.0*5.27*18.0*1.13*24*9*2*14*4*4*11th and 12th grade*simple
36.97*16.6*0.0*18.31*14.17*22.0*15.54*26.0*9.17*39.0*2.81*55*17*4*34*5*14*16th and 17th grade*simple
31.21*14.6*0.0*16.16*14.51*16.1*10.27*16.5*7.07*29.0*1.87*41*11*4*23*6*8*14th and 15th grade*simple
60.82*7.4*0.0*9.91*11.92*9.6*10.92*7.0*5.19*16.0*1.69*34*13*4*21*11*7*9th and 10th grade*simple
33.92*11.5*0.0*11.47*17.62*14.8*14.76*8.5*8.26*15.0*1.13*23*4*2*12*3*8*11th and 12th grade*simple
61.67*9.1*0.0*9.42*9.8*10.8*10.67*13.0*5.77*24.0*1.31*27*11*2*18*6*5*9th and 10th grade*simple
92.12*3.6*0.0*5.2*5.5*4.6*6.71*6.0*3.33*20.0*0.79*15*11*0*13*7*1*5th and 6th grade*simple
54.9*13.8*0.0*15.62*8.08*15.3*9.58*20.0*7.06*48.0*2.09*45*25*3*33*15*6*9th and 10th grade*simple
70.13*8.0*0.0*11.64*12.7*13.5*11.55*13.5*5.29*25.0*1.45*25*14*2*18*7*4*13th and 14th grade*simple
43.39*9.9*0.0*8.04*10.54*8.0*8.49*8.0*4.74*16.0*0.82*20*5*3*11*5*3*7th and 8th grade*simple
48.47*8.0*0.0*9.07*13.97*10.6*11.83*3.5*5.99*8.0*0.54*11*2*1*6*2*3*10th and 11th grade*simple
85.69*4.0*0.0*4.4*4.21*3.8*7.05*5.5*3.17*17.0*0.68*14*8*0*11*6*1*3rd and 4th grade*simple
87.05*5.6*0.0*9.42*6.26*7.7*8.92*11.5*4.81*27.0*1.13*22*15*1*18*9*3*5th and 6th grade*simple
63.02*10.7*0.0*14.8*11.55*15.0*11.82*17.0*6.08*34.0*1.87*36*18*3*25*9*5*11th and 12th grade*simple
63.36*12.6*0.0*13.2*12.66*20.0*13.41*22.5*6.53*41.0*2.57*44*24*2*33*8*4*12th and 13th grade*simple
78.59*6.8*0.0*9.42*7.25*8.2*10.67*11.0*5.29*24.0*1.16*23*14*1*18*6*4*6th and 7th grade*simple
78.75*4.6*0.0*3.8*5.07*5.1*8.26*6.0*2.63*13.5*1.29*26*14*2*19*8*1*4th and 5th grade*simple
48.47*8.0*0.0*15.73*7.7*5.5*9.2*5.0*4.55*8.0*0.9*22*7*5*12*4*4*7th and 8th grade*simple
66.07*9.5*0.0*10.62*8.53*10.8*8.32*12.5*5.9*32.0*1.45*31*14*1*22*10*5*8th and 9th grade*simple
97.2*1.7*0.0*3.2*4.65*3.2*9.95*3.5*3.04*11.5*1.03*19*13*0*16*7*2*3rd and 4th grade*simple
54.56*11.9*0.0*13.2*11.32*14.8*13.72*16.5*7.12*34.0*1.85*37*16*3*25*9*8*11th and 12th grade*simple
63.36*6.4*0.0*8.2*23.85*19.7*11.93*5.5*5.19*10.0*0.93*13*5*1*8*2*3*5th and 6th grade*simple
95.17*2.5*0.0*4.0*4.44*3.4*10.45*6.0*2.25*15.0*0.62*12*9*1*10*5*0*3rd and 4th grade*simple
79.09*6.6*0.0*8.14*6.78*7.5*8.56*9.0*4.78*23.5*2.2*46*25*1*35*12*6*6th and 7th grade*simple
87.72*3.3*0.0*3.6*11.86*8.7*11.1*4.0*3.06*10.0*0.72*12*6*0*9*1*1*3rd and 4th grade*simple
83.15*5.0*0.0*8.36*6.84*5.9*10.74*7.25*4.65*21.0*1.73*36*21*2*27*15*6*5th and 6th grade*simple
95.17*2.5*0.0*4.0*2.7*1.5*7.29*4.5*3.11*15.0*0.56*12*8*0*10*5*1*2nd and 3rd grade*simple
67.08*9.1*0.0*12.21*7.6*9.5*9.94*13.0*5.85*34.0*1.34*29*15*2*21*13*5*9th and 10th grade*simple
64.2*8.2*0.0*10.07*8.06*7.4*8.48*10.25*4.41*24.0*2.04*46*21*4*31*17*5*7th and 8th grade*simple
64.04*10.3*0.0*12.93*12.48*15.3*10.09*15.0*6.01*35.0*1.85*33*17*2*24*11*5*12th and 13th grade*simple
58.28*8.4*0.0*5.2*10.37*9.7*11.57*10.5*4.66*17.0*1.0*21*7*2*13*4*3*9th and 10th grade*simple
94.15*2.9*0.0*4.4*3.17*2.5*9.92*6.5*2.39*18.0*0.63*13*10*1*11*7*0*2nd and 3rd grade*simple
37.3*12.3*0.0*9.15*12.12*12.0*10.05*11.0*5.77*22.0*1.32*30*7*1*17*5*5*11th and 12th grade*simple
81.63*5.6*0.0*8.67*10.72*9.6*8.59*8.0*4.67*21.0*1.1*20*11*1*15*6*3*8th and 9th grade*simple
34.26*13.5*0.0*14.0*19.26*18.7*12.52*13.5*6.67*28.0*1.88*36*11*3*20*8*7*13th and 14th grade*simple
86.71*3.7*0.0*6.0*5.02*3.4*9.66*5.0*4.4*15.5*1.23*26*15*1*20*11*5*5th and 6th grade*simple
72.16*7.2*0.0*8.9*11.77*10.7*11.34*8.5*5.24*23.0*1.2*22*11*1*16*7*4*8th and 9th grade*simple
25.46*12.7*0.0*18.13*17.62*14.0*12.13*10.5*6.83*16.0*1.1*24*4*4*12*4*6*12th and 13th grade*simple
46.1*13.0*0.0*13.2*12.71*15.9*9.93*17.5*6.43*33.0*1.94*39*16*3*25*8*6*12th and 13th grade*simple
67.42*11.1*0.0*11.6*10.11*15.5*11.06*15.5*6.71*40.0*2.03*39*19*0*29*11*6*11th and 12th grade*simple
63.36*6.4*0.0*5.7*9.0*7.3*16.86*4.5*6.27*11.0*1.23*25*8*1*16*6*8*5th and 6th grade*simple
54.56*11.9*0.0*13.2*9.7*15.2*11.82*19.0*6.43*38.0*1.88*37*17*2*25*13*6*11th and 12th grade*simple
95.17*2.5*0.0*4.0*6.18*4.3*8.87*4.5*3.97*15.0*0.65*12*8*0*10*5*2*4th and 5th grade*simple
44.75*17.7*0.0*19.06*12.72*24.9*12.75*29.0*9.1*57.0*3.33*62*28*4*43*14*11*12th and 13th grade*simple
36.97*16.6*0.0*19.48*11.44*18.7*10.9*24.0*7.91*48.0*2.45*54*22*6*34*14*9*10th and 11th grade*simple
51.52*13.0*0.0*14.06*10.97*16.8*9.54*20.0*6.02*42.0*2.12*41*20*4*28*14*4*9th and 10th grade*simple
84.34*2.5*7.8*8.27*2.44*4.5*14.36*2.1666666666666665*2.84*6.0*0.9*17*9*2*12*6*2*2nd and 3rd grade*simple
72.16*7.2*0.0*8.9*10.73*11.3*11.34*11.0*5.78*24.0*1.23*23*10*1*16*8*5*10th and 11th grade*simple
95.51*4.4*0.0*7.2*0.81*3.5*6.28*10.5*3.85*32.0*0.9*20*16*0*18*14*1*3rd and 4th grade*simple
34.26*13.5*0.0*14.0*16.65*16.8*9.37*15.5*5.81*26.0*1.76*35*11*4*20*6*5*13th and 14th grade*simple
80.28*4.1*0.0*3.2*7.9*5.6*13.9*3.5*5.19*11.0*0.57*11*5*0*8*3*3*3rd and 4th grade*simple
62.34*6.8*0.0*3.6*6.06*5.1*9.35*5.5*3.06*14.0*0.62*14*6*1*9*5*1*5th and 6th grade*simple
78.25*4.8*0.0*8.0*6.76*4.8*9.66*5.5*4.4*15.5*1.32*27*15*2*20*11*5*4th and 5th grade*simple
44.75*11.5*0.0*11.64*13.05*12.7*8.04*11.5*5.29*24.0*1.41*30*9*2*18*6*4*11th and 12th grade*simple
73.85*10.7*0.0*13.69*8.37*14.9*11.8*18.0*6.87*45.0*2.01*38*25*1*31*14*6*10th and 11th grade*simple
78.25*4.8*0.0*8.0*3.86*2.4*10.45*5.5*3.11*16.0*0.59*14*8*1*10*6*1*4th and 5th grade*simple
63.7*8.4*0.0*11.4*9.97*9.8*9.36*11.5*5.78*22.0*1.16*24*11*2*16*6*5*9th and 10th grade*simple
94.15*2.9*0.0*6.22*3.69*2.9*7.05*6.0*3.17*17.0*1.29*27*18*1*22*12*2*2nd and 3rd grade*simple
95.17*2.5*0.0*4.0*3.86*2.9*5.71*5.0*3.11*15.0*0.6*12*8*0*10*5*1*2nd and 3rd grade*simple
53.88*8.0*0.0*12.49*8.03*6.1*9.35*6.5*4.97*13.0*0.65*15*6*2*9*4*3*7th and 8th grade*simple
69.79*6.0*0.0*8.0*8.5*6.2*10.45*5.5*5.69*15.0*0.71*15*6*1*10*5*4*5th and 6th grade*simple
67.42*11.1*0.0*12.98*8.6*14.1*8.89*17.0*5.97*42.0*3.8*75*44*2*58*26*7*8th and 9th grade*simple
39.67*13.4*0.0*16.16*13.76*15.3*11.64*18.0*7.07*30.0*1.81*39*13*6*23*7*8*13th and 14th grade*simple
27.83*13.9*0.0*18.31*16.88*15.8*12.42*14.5*7.2*24.0*1.59*35*9*5*18*6*8*13th and 14th grade*simple
92.12*3.6*0.0*8.28*5.9*5.0*10.35*7.0*4.0*19.0*0.81*16*11*1*13*6*2*4th and 5th grade*simple
80.28*4.1*0.0*3.2*9.35*7.3*7.98*4.0*4.12*11.0*0.62*11*5*0*8*3*2*3rd and 4th grade*simple
70.29*5.8*0.0*5.91*6.87*4.9*7.43*5.25*3.08*15.0*1.28*28*14*2*19*11*2*5th and 6th grade*simple
70.13*8.0*0.0*11.64*9.51*10.6*11.55*13.0*5.77*24.0*1.29*26*13*2*18*6*5*11th and 12th grade*simple
24.11*17.4*0.0*17.33*13.3*18.2*14.07*22.0*8.51*41.0*2.31*54*16*6*30*11*12*17th and 18th grade*simple
46.44*8.8*0.0*18.2*11.56*8.5*9.95*6.5*5.19*11.0*0.65*14*5*3*8*3*3*8th and 9th grade*simple
49.83*15.8*0.0*16.25*9.24*18.9*9.26*22.0*7.55*51.0*2.53*54*26*2*38*13*6*15th and 16th grade*simple
68.77*6.4*0.0*8.04*7.35*5.5*11.36*6.0*4.74*15.0*0.73*16*7*1*11*4*3*5th and 6th grade*simple
72.32*5.0*0.0*5.67*7.79*5.5*8.22*4.0*3.62*10.5*1.09*22*10*1*15*6*3*5th and 6th grade*simple
-13.47*19.4*0.0*18.56*19.25*17.5*13.77*16.5*6.78*23.0*1.62*41*8*7*17*6*7*18th and 19th grade*simple
70.47*9.9*0.0*11.94*5.75*11.0*10.39*15.5*6.16*40.0*1.57*34*19*1*26*14*5*9th and 10th grade*simple
89.08*4.8*0.0*8.9*5.28*6.6*7.39*10.5*4.17*25.0*1.0*19*14*1*16*9*2*4th and 5th grade*simple
103.63*1.3*0.0*4.0*2.7*1.9*10.45*4.5*2.25*15.0*0.57*11*9*0*10*5*0*1st and 2nd grade*simple
11.58*13.9*0.0*12.49*19.63*15.5*12.86*7.5*5.93*11.0*0.91*20*4*3*9*2*4*12th and 13th grade*simple
55.58*11.5*0.0*12.93*10.8*13.6*10.09*15.5*6.37*35.0*1.72*36*16*3*24*11*6*10th and 11th grade*simple
63.36*6.4*0.0*8.2*8.66*6.1*13.9*4.5*6.27*11.0*0.59*13*4*1*8*3*4*8th and 9th grade*simple
45.42*9.2*0.0*12.49*17.66*13.4*11.1*6.0*4.02*9.0*0.85*16*5*2*9*0*2*10th and 11th grade*simple
53.88*8.0*0.0*12.49*9.94*7.1*9.35*6.0*4.02*13.0*0.68*15*6*2*9*4*2*9th and 10th grade*simple
44.07*13.8*0.0*19.69*10.91*15.6*10.82*22.5*6.88*37.0*1.98*44*17*7*27*10*7*10th and 11th grade*simple
100.24*0.5*0.0*2.0*10.76*9.3*16.52*2.0*3.26*5.0*0.44*6*4*0*5*0*1*1st and 2nd grade*simple
66.74*7.2*0.0*8.28*11.7*11.2*11.57*8.0*5.32*18.0*1.06*19*8*1*13*5*4*7th and 8th grade*simple
46.78*10.7*0.0*11.4*13.22*12.2*11.34*13.0*5.24*21.0*1.28*27*9*4*16*5*4*10th and 11th grade*simple
98.55*3.2*0.0*6.0*3.41*4.3*6.49*8.0*4.1*22.0*0.85*17*13*0*15*7*2*3rd and 4th grade*simple
82.14*5.4*0.0*7.18*7.3*6.8*9.26*8.0*4.07*20.5*1.9*37*23*2*29*12*4*6th and 7th grade*simple
88.74*2.9*0.0*3.2*2.1*0.8*7.98*3.5*4.12*12.0*0.46*10*6*0*8*4*2*2nd and 3rd grade*simple
80.28*4.1*0.0*8.2*5.76*3.8*9.95*4.5*4.12*11.0*0.53*11*6*1*8*3*2*3rd and 4th grade*simple
